401,23.42,27.36,104.0,1.0,0.70,1.00,1.10,1.20,415.0,3.53,23.42,5.757,1.07,1.41,1.61,1.74
421,23.43,27.32,103.0,1.0,0.70,1.00,1.10,1.20,417.0,3.52,23.43,5.753,1.05,1.40,1.59,1.71
441,23.43,27.30,104.0,1.0,0.70,1.00,1.10,1.20,416.0,3.51,23.43,5.751,1.03,1.38,1.57,1.69
461,23.43,27.28,104.0,1.0,0.60,0.90,1.00,1.10,417.0,3.50,23.43,5.747,1.01,1.36,1.54,1.67
481,23.44,27.26,104.0,1.0,0.60,0.90,1.00,1.10,417.0,3.50,23.44,5.746,1.00,1.34,1.52,1.64
501,23.45,27.25,104.0,1.0,0.60,0.90,1.00,1.10,414.0,3.50,23.45,5.745,0.98,1.32,1.50,1.62
521,23.46,27.25,102.0,1.0,0.60,0.90,1.00,1.10,411.0,3.51,23.46,5.748,0.97,1.30,1.48,1.60
541,23.47,27.25,101.0,1.0,0.60,0.90,1.00,1.10,407.0,3.51,23.47,5.750,0.95,1.29,1.46,1.58
561,23.47,27.25,100.0,1.0,0.70,1.00,1.10,1.20,407.0,3.52,23.47,5.752,0.94,1.28,1.45,1.57
581,23.47,27.26,102.0,1.0,0.80,1.10,1.30,1.40,408.0,3.52,23.47,5.754,0.94,1.27,1.44,1.56
601,23.47,27.25,100.0,1.0,0.80,1.10,1.30,1.40,414.0,3.52,23.47,5.752,0.93,1.27,1.44,1.56
621,23.48,27.24,101.0,1.0,0.80,1.10,1.30,1.40,408.0,3.52,23.48,5.751,0.93,1.26,1.44,1.55
641,23.48,27.23,100.0,1.0,0.60,0.90,1.00,1.10,412.0,3.52,23.48,5.751,0.92,1.25,1.42,1.54
662,23.48,27.22,102.0,1.0,0.60,0.90,1.00,1.10,416.0,3.51,23.48,5.747,0.91,1.24,1.41,1.52
682,23.48,27.25,105.0,1.0,0.60,0.90,1.00,1.10,416.0,3.52,23.48,5.753,0.90,1.23,1.40,1.51
702,23.48,27.29,106.0,1.0,0.60,0.90,1.00,1.10,418.0,3.54,23.48,5.762,0.89,1.22,1.39,1.50
722,23.47,27.27,100.0,1.0,0.60,0.80,0.90,1.00,422.0,3.53,23.47,5.756,0.88,1.21,1.37,1.49
742,23.47,27.26,99.0,1.0,0.50,0.70,0.80,0.80,421.0,3.52,23.47,5.752,0.87,1.19,1.36,1.47
762,23.46,27.25,100.0,1.0,0.50,0.70,0.80,0.90,420.0,3.51,23.46,5.748,0.86,1.18,1.34,1.45
782,23.44,27.24,100.0,1.0,0.50,0.70,0.80,0.90,416.0,3.49,23.44,5.740,0.85,1.17,1.33,1.44
802,23.42,27.24,101.0,1.0,0.50,0.70,0.80,0.90,419.0,3.47,23.42,5.735,0.85,1.16,1.31,1.42
822,23.41,27.23,101.0,1.0,0.50,0.70,0.80,0.90,418.0,3.45,23.41,5.726,0.84,1.15,1.30,1.41
842,23.39,27.23,100.0,1.0,0.50,0.80,0.90,1.00,417.0,3.43,23.39,5.720,0.83,1.14,1.29,1.40
862,23.37,27.23,101.0,1.0,0.60,0.80,1.00,1.10,420.0,3.42,23.37,5.715,0.82,1.13,1.29,1.40
882,23.36,27.23,101.0,1.0,0.60,0.80,1.00,1.10,420.0,3.42,23.36,5.713,0.82,1.12,1.28,1.39
902,23.36,27.23,100.0,1.0,0.70,0.90,1.10,1.20,420.0,3.41,23.36,5.712,0.82,1.12,1.28,1.38
922,23.35,27.23,101.0,1.0,0.80,1.00,1.30,1.40,419.0,3.40,23.35,5.708,0.82,1.12,1.28,1.38
942,23.34,27.23,101.0,1.0,0.70,0.90,1.10,1.20,418.0,3.40,23.34,5.705,0.81,1.11,1.27,1.38
962,23.33,27.26,103.0,1.0,0.60,0.80,1.00,1.10,415.0,3.41,23.33,5.710,0.81,1.10,1.27,1.37
982,23.33,27.26,103.0,1.0,0.60,0.80,1.00,1.10,414.0,3.40,23.33,5.706,0.80,1.10,1.26,1.37
1003,23.32,27.28,102.0,1.0,0.60,0.80,1.00,1.10,415.0,3.41,23.32,5.709,0.80,1.09,1.26,1.36
